tweet,message,match,polarity
781,"RT Last week Dr Jonathon Fowles EIM Canada Chair conducted an EIM Educational Minicourse at Dalhousie University The event was well attended and included students from Med Physio Nursing OT and Kinesiology exerciseismedicine exercise university ACSM,,
",well,Positive
782,"Last week Dr Jonathon Fowles EIM Canada Chair conducted an EIM Educational Minicourse at Dalhousie University The event was well attended and included students from Med Physio Nursing OT and Kinesiology exerciseismedicine exercise university ACSM,,
",well,Positive
783,"A rare opportunity to a worthy student From DadaabCamps to Dalhousie University Abdirahman Haiye is among the few people chosen to have a conversation with BarackObama during his visit here in Halifax this coming month Congratulations brother,,
",worthy,Positive
784,"RT Excellent article ZamaniMillar Hitting the right note Musician finds groove in Community Design program Dal News Dalhousie University,,
",right,Positive
785,"HRMFireNews halifaxnoise Out at Dalhousie University Ave,,
",,Neutral
786,"RT Excellent article ZamaniMillar Hitting the right note Musician finds groove in Community Design program Dal News Dalhousie University,,
",right,Positive
787,"Excellent article ZamaniMillar Hitting the right note Musician finds groove in Community Design program Dal News Dalhousie University,,
",right,Positive
788,"RT Wild horses or pests How to control freeroaming horses in Alberta A post from Tony Robert Walker Assistant Professor School for Resource and Environmental Studies Dalhousie University,,
",,Neutral
789,"GonzagaVikings will host a Lunch amp Learn session on Nov 15 for girls in grades 1012 about the Creative Destruction Lab which is housed in the Rowe School of Management at Dalhousie University Join us for a pizza lunch and a brief presentation To attend see MrsT NLESDCA,,
",,Neutral
790,"Dalhousie grad gets longawaited apology from university via tweet CBC News,,
",,Neutral
791,"RT Wild horses or pests How to control freeroaming horses in Alberta A post from Tony Robert Walker Assistant Professor School for Resource and Environmental Studies Dalhousie University,,
",,Neutral
792,"Wild horses or pests How to control freeroaming horses in Alberta A post from Tony Robert Walker Assistant Professor School for Resource and Environmental Studies Dalhousie University,,
",,Neutral
793,"Still time to register for tomorrows MeetUp in Halifax Tuesday October 29 6309PM at the Dalhousie University Club,,
",,Neutral
794,"Confusion at the fish counter How to eat fish responsibly JWeitzmanAqua interdisciplinary PhD candidate in Marine Affairs Program DalhousieU KillamInstitution on why eat fish and how to choose the right fish via Dal News Dalhousie University,,
",responsibly,Positive
794,"Confusion at the fish counter How to eat fish responsibly JWeitzmanAqua interdisciplinary PhD candidate in Marine Affairs Program DalhousieU KillamInstitution on why eat fish and how to choose the right fish via Dal News Dalhousie University,,
",right,Positive
795,"Go Eng Girl 2019 event at Dalhousie University a free day at Dal for female students in grades 712 to discover more about engineering Put on by the Women In Engineering Society at Dal Registration DalhousieU,,
",free,Positive
796,"Grads Dalhousie University will be here this Wednesday at lunch in Student Services,,
",,Neutral
797,"Dalhousie University is seeking to fill a position for a Tier I Canada Research Chair in Indigenous Ethnic amp Immigrant Community Development Review of applications will begin in February 1st 2020 Visit for more information on how to apply,,
",,Neutral
798,"Joanne Langley MD Professor of Pediatrics and Community Health and Epidemiology CIHRGSK Chair in Pediatric Vaccinology Dalhousie University and Head of the Division of Infectious Disease IWK Health Centre VBIV,,
",,Neutral
799,"We do things much differently now Eg my Alma Mater the Department of Medical Neuroscience at Dalhousie University runs the Human Body Donation Program which is invaluable in training future medical professionals and scientists,,
",invaluable,Positive
800,"Open Dialogue Edward Snowden Live from Russia Dalhousie University via YouTube,,
",,Neutral
801,"Too Little Too Late Dalhousie,,
",,Neutral
802,"MeetUps are ideal for students emerging professionals in the first five years of their digital health career startup employeesentrepreneurs Reg for our Halifax MeetUp Tuesday October 29 6309PM at the Dalhousie University Club,,
",ideal,Positive
803,"STFU already gtgt Dalhousie grad gets longawaited apology from university via tweet CBC News,,
",,Neutral
804,"Gen Khan is still waiting for a apology from DalhousieU for making her a target for violence and charging her with reverse racism Ill say it again whitefragilitycankissmyass your white tears arent sacred this land is,,
",racism,Negative
805,"RT My next Writing Short Stories course begins on Wednesday 6th November 2pm 4pm Dalhousie University of Dundee for five weeks,,
",,Neutral
806,"RT Institutional cowardice is an epidemic,,
",,Neutral
807,"RT Dalhousie grad gets longawaited apology from university via tweet,,
",,Neutral
808,"RT Interesting celebratory comments about 50 years of the school of information management at Dalhousie University Congratulations alldalsimnews DalhousieU DalLibraries,,
",celebratory,Positive
809,"RT A longawaited apology for the great mak95101 Masuma is always welcome as Anishinaabe Our circle always has a place from Masuma Her honour and strength makes us better whitefragilitycankissmyass,,
",great,Positive
809,"RT A longawaited apology for the great mak95101 Masuma is always welcome as Anishinaabe Our circle always has a place from Masuma Her honour and strength makes us better whitefragilitycankissmyass,,
",welcome,Positive
809,"RT A longawaited apology for the great mak95101 Masuma is always welcome as Anishinaabe Our circle always has a place from Masuma Her honour and strength makes us better whitefragilitycankissmyass,,
",better,Positive
810,"RT Our Halifax MeetUp presenters Meghann Coleman voltaeffect and Connie Munroe BarringtonGRP will share insights on incubators innovation and the digital health career path See you on Tuesday October 29 6309PM at the Dalhousie University Club,,
",innovation,Positive
811,"RT Our Halifax MeetUp presenters Meghann Coleman voltaeffect and Connie Munroe BarringtonGRP will share insights on incubators innovation and the digital health career path See you on Tuesday October 29 6309PM at the Dalhousie University Club,,
",innovation,Positive
812,"Not good enough,,
",good,Positive
813,"Interesting celebratory comments about 50 years of the school of information management at Dalhousie University Congratulations alldalsimnews DalhousieU DalLibraries,,
",celebratory,Positive
814,"My next Writing Short Stories course begins on Wednesday 6th November 2pm 4pm Dalhousie University of Dundee for five weeks,,
",,Neutral
815,"RT Dalhousie grad gets longawaited apology from university via tweet,,
",,Neutral
816,"RT A longawaited apology for the great mak95101 Masuma is always welcome as Anishinaabe Our circle always has a place from Masuma Her honour and strength makes us better whitefragilitycankissmyass,,
",great,Positive
816,"RT A longawaited apology for the great mak95101 Masuma is always welcome as Anishinaabe Our circle always has a place from Masuma Her honour and strength makes us better whitefragilitycankissmyass,,
",welcome,Positive
816,"RT A longawaited apology for the great mak95101 Masuma is always welcome as Anishinaabe Our circle always has a place from Masuma Her honour and strength makes us better whitefragilitycankissmyass,,
",better,Positive
817,"elonmusk Hi Im a student of Dalhousie University NS Canada and I need your help I got a task to write a little essay about you so if you have a few minutes to give me an interview I would appreciate it,,
",appreciate,Positive
818,"elonmusk Hi Im a student of Dalhousie University NS Canada and I need your help I got a task to write a little essay about you so if you have a few minutes to give me an interview I would appreciate it,,
",appreciate,Positive
819,"RT The lions share of supposed classical liberals concerned about free speech arent actually principled in their advocacy If they were principled theyd have backed mak95101 But most of them were either silent or piled on Khan cdnpoli,,
",concerned,Negative
819,"RT The lions share of supposed classical liberals concerned about free speech arent actually principled in their advocacy If they were principled theyd have backed mak95101 But most of them were either silent or piled on Khan cdnpoli,,
",free,Positive
819,"RT The lions share of supposed classical liberals concerned about free speech arent actually principled in their advocacy If they were principled theyd have backed mak95101 But most of them were either silent or piled on Khan cdnpoli,,
",principled,Positive
819,"RT The lions share of supposed classical liberals concerned about free speech arent actually principled in their advocacy If they were principled theyd have backed mak95101 But most of them were either silent or piled on Khan cdnpoli,,
",silent,Positive
820,"elonmusk Hi Im a student of Dalhousie University NS Canada and I need your help I got a task to write a little essay about you so if you have a few minutes to give me an interview I would appreciate it,,
",appreciate,Positive
821,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",awful,Negative
821,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",extraordinary,Positive
821,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",work,Positive
821,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",better,Positive
822,"Fact Dalhousie university,,
",,Neutral
823,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",awful,Negative
823,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",extraordinary,Positive
823,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",work,Positive
823,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",better,Positive
824,"RT Institutional cowardice is an epidemic,,
",,Neutral
825,"Dalhousie grad gets longawaited apology from university via tweet,,
",,Neutral
826,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",awful,Negative
826,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",extraordinary,Positive
826,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",work,Positive
826,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",better,Positive
827,"RT When Baron Longley heard his name called at Dalhousie Universitys fall convocation last week he didnt wait to leave the stage to start celebrating CBCNS,,
",fall,Negative
828,"Dalhousie grad gets longawaited apology from university via tweet CBC News,,
",,Neutral
829,"BobbyOK mak95101 is right This isnt even an apology DalhousieU Its a textbook nonapology Both you amp your family endured hateful amp demeaning comments We regret that this happened and were sorry for that harm whitefragility Story by SaitlynKwan,,
",right,Positive
829,"BobbyOK mak95101 is right This isnt even an apology DalhousieU Its a textbook nonapology Both you amp your family endured hateful amp demeaning comments We regret that this happened and were sorry for that harm whitefragility Story by SaitlynKwan,,
",hateful,Negative
829,"BobbyOK mak95101 is right This isnt even an apology DalhousieU Its a textbook nonapology Both you amp your family endured hateful amp demeaning comments We regret that this happened and were sorry for that harm whitefragility Story by SaitlynKwan,,
",demeaning,Negative
829,"BobbyOK mak95101 is right This isnt even an apology DalhousieU Its a textbook nonapology Both you amp your family endured hateful amp demeaning comments We regret that this happened and were sorry for that harm whitefragility Story by SaitlynKwan,,
",regret,Negative
829,"BobbyOK mak95101 is right This isnt even an apology DalhousieU Its a textbook nonapology Both you amp your family endured hateful amp demeaning comments We regret that this happened and were sorry for that harm whitefragility Story by SaitlynKwan,,
",sorry,Negative
829,"BobbyOK mak95101 is right This isnt even an apology DalhousieU Its a textbook nonapology Both you amp your family endured hateful amp demeaning comments We regret that this happened and were sorry for that harm whitefragility Story by SaitlynKwan,,
",harm,Negative
830,"Institutional cowardice is an epidemic,,
",,Neutral
831,"RT Our Halifax MeetUp presenters Meghann Coleman voltaeffect and Connie Munroe BarringtonGRP will share insights on incubators innovation and the digital health career path See you on Tuesday October 29 6309PM at the Dalhousie University Club,,
",innovation,Positive
832,"Our Halifax MeetUp presenters Meghann Coleman voltaeffect and Connie Munroe BarringtonGRP will share insights on incubators innovation and the digital health career path See you on Tuesday October 29 6309PM at the Dalhousie University Club,,
",innovation,Positive
833,"sheluvchanel Actually Im a father to four beautiful boys that attend dalhousie university with me,,
",beautiful,Positive
834,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",awful,Negative
834,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",extraordinary,Positive
834,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",work,Positive
834,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",better,Positive
835,"Normally tape out kills dont make the cut andrewt5 yumvb volleyball scramble save greatplay digs defence kill york lions Dalhousie University,,
",kills,Negative
835,"Normally tape out kills dont make the cut andrewt5 yumvb volleyball scramble save greatplay digs defence kill york lions Dalhousie University,,
",scramble,Negative
835,"Normally tape out kills dont make the cut andrewt5 yumvb volleyball scramble save greatplay digs defence kill york lions Dalhousie University,,
",kill,Negative
836,"RT A longawaited apology for the great mak95101 Masuma is always welcome as Anishinaabe Our circle always has a place from Masuma Her honour and strength makes us better whitefragilitycankissmyass,,
",great,Positive
836,"RT A longawaited apology for the great mak95101 Masuma is always welcome as Anishinaabe Our circle always has a place from Masuma Her honour and strength makes us better whitefragilitycankissmyass,,
",welcome,Positive
836,"RT A longawaited apology for the great mak95101 Masuma is always welcome as Anishinaabe Our circle always has a place from Masuma Her honour and strength makes us better whitefragilitycankissmyass,,
",better,Positive
837,"Normally tape out kills dont make the cut andrewt5 yumvb volleyball scramble save greatplay digs defence kill york lions Dalhousie University,,
",kills,Negative
837,"Normally tape out kills dont make the cut andrewt5 yumvb volleyball scramble save greatplay digs defence kill york lions Dalhousie University,,
",scramble,Negative
837,"Normally tape out kills dont make the cut andrewt5 yumvb volleyball scramble save greatplay digs defence kill york lions Dalhousie University,,
",kill,Negative
838,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",awful,Negative
838,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",extraordinary,Positive
838,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",work,Positive
838,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",better,Positive
839,"Dalhousie University has fallen and cant get up nspoli,,
",fallen,Negative
840,"RT When Baron Longley heard his name called at Dalhousie Universitys fall convocation last week he didnt wait to leave the stage to start celebrating CBCNS,,
",fall,Negative
841,"On October 29 join Dorian Relief HFX during this cultural evening in support of the Bahamian people at the Dalhousie University Club Tickets are 10 Unable to attend Donate instead Details dalstudentlife dalhousieu,,
",support,Positive
842,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",awful,Negative
842,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",extraordinary,Positive
842,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",work,Positive
842,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",better,Positive
843,"RT Dalhousie grad gets longawaited apology from university via tweet,,
",,Neutral
844,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",awful,Negative
844,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",extraordinary,Positive
844,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",work,Positive
844,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",better,Positive
845,"RT A longawaited apology for the great mak95101 Masuma is always welcome as Anishinaabe Our circle always has a place from Masuma Her honour and strength makes us better whitefragilitycankissmyass,,
",great,Positive
845,"RT A longawaited apology for the great mak95101 Masuma is always welcome as Anishinaabe Our circle always has a place from Masuma Her honour and strength makes us better whitefragilitycankissmyass,,
",welcome,Positive
845,"RT A longawaited apology for the great mak95101 Masuma is always welcome as Anishinaabe Our circle always has a place from Masuma Her honour and strength makes us better whitefragilitycankissmyass,,
",better,Positive
846,"DalhousieU grad gets longawaited apology from university via tweet,,
",,Neutral
847,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",awful,Negative
847,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",extraordinary,Positive
847,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",work,Positive
847,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",better,Positive
848,"RT A longawaited apology for the great mak95101 Masuma is always welcome as Anishinaabe Our circle always has a place from Masuma Her honour and strength makes us better whitefragilitycankissmyass,,
",great,Positive
848,"RT A longawaited apology for the great mak95101 Masuma is always welcome as Anishinaabe Our circle always has a place from Masuma Her honour and strength makes us better whitefragilitycankissmyass,,
",welcome,Positive
848,"RT A longawaited apology for the great mak95101 Masuma is always welcome as Anishinaabe Our circle always has a place from Masuma Her honour and strength makes us better whitefragilitycankissmyass,,
",better,Positive
849,"RT Dalhousie grad gets longawaited apology from university via tweet,,
",,Neutral
850,"RT When Baron Longley heard his name called at Dalhousie Universitys fall convocation last week he didnt wait to leave the stage to start celebrating CBCNS,,
",fall,Negative
851,"RT A longawaited apology for the great mak95101 Masuma is always welcome as Anishinaabe Our circle always has a place from Masuma Her honour and strength makes us better whitefragilitycankissmyass,,
",great,Positive
851,"RT A longawaited apology for the great mak95101 Masuma is always welcome as Anishinaabe Our circle always has a place from Masuma Her honour and strength makes us better whitefragilitycankissmyass,,
",welcome,Positive
851,"RT A longawaited apology for the great mak95101 Masuma is always welcome as Anishinaabe Our circle always has a place from Masuma Her honour and strength makes us better whitefragilitycankissmyass,,
",better,Positive
852,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",awful,Negative
852,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",extraordinary,Positive
852,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",work,Positive
852,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",better,Positive
853,"RT A longawaited apology for the great mak95101 Masuma is always welcome as Anishinaabe Our circle always has a place from Masuma Her honour and strength makes us better whitefragilitycankissmyass,,
",great,Positive
853,"RT A longawaited apology for the great mak95101 Masuma is always welcome as Anishinaabe Our circle always has a place from Masuma Her honour and strength makes us better whitefragilitycankissmyass,,
",welcome,Positive
853,"RT A longawaited apology for the great mak95101 Masuma is always welcome as Anishinaabe Our circle always has a place from Masuma Her honour and strength makes us better whitefragilitycankissmyass,,
",better,Positive
854,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",awful,Negative
854,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",extraordinary,Positive
854,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",work,Positive
854,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",better,Positive
855,"RT A longawaited apology for the great mak95101 Masuma is always welcome as Anishinaabe Our circle always has a place from Masuma Her honour and strength makes us better whitefragilitycankissmyass,,
",great,Positive
855,"RT A longawaited apology for the great mak95101 Masuma is always welcome as Anishinaabe Our circle always has a place from Masuma Her honour and strength makes us better whitefragilitycankissmyass,,
",welcome,Positive
855,"RT A longawaited apology for the great mak95101 Masuma is always welcome as Anishinaabe Our circle always has a place from Masuma Her honour and strength makes us better whitefragilitycankissmyass,,
",better,Positive
856,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",awful,Negative
856,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",extraordinary,Positive
856,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",work,Positive
856,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",better,Positive
857,"RT Dalhousie grad gets longawaited apology from university via tweet,,
",,Neutral
858,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",awful,Negative
858,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",extraordinary,Positive
858,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",work,Positive
858,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",better,Positive
859,"RT A longawaited apology for the great mak95101 Masuma is always welcome as Anishinaabe Our circle always has a place from Masuma Her honour and strength makes us better whitefragilitycankissmyass,,
",great,Positive
859,"RT A longawaited apology for the great mak95101 Masuma is always welcome as Anishinaabe Our circle always has a place from Masuma Her honour and strength makes us better whitefragilitycankissmyass,,
",welcome,Positive
859,"RT A longawaited apology for the great mak95101 Masuma is always welcome as Anishinaabe Our circle always has a place from Masuma Her honour and strength makes us better whitefragilitycankissmyass,,
",better,Positive
860,"Emily Drake a PhD student at Dalhousie University cocreated the hashtag AYACSM adolescent amp young adult cancer societal movement to give young patients amp survivors from around the world a way to connect over social mediaRead her story,,
",cancer,Negative
861,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",awful,Negative
861,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",extraordinary,Positive
861,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",work,Positive
861,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",better,Positive
862,"RT A longawaited apology for the great mak95101 Masuma is always welcome as Anishinaabe Our circle always has a place from Masuma Her honour and strength makes us better whitefragilitycankissmyass,,
",great,Positive
862,"RT A longawaited apology for the great mak95101 Masuma is always welcome as Anishinaabe Our circle always has a place from Masuma Her honour and strength makes us better whitefragilitycankissmyass,,
",welcome,Positive
862,"RT A longawaited apology for the great mak95101 Masuma is always welcome as Anishinaabe Our circle always has a place from Masuma Her honour and strength makes us better whitefragilitycankissmyass,,
",better,Positive
863,"RT A longawaited apology for the great mak95101 Masuma is always welcome as Anishinaabe Our circle always has a place from Masuma Her honour and strength makes us better whitefragilitycankissmyass,,
",great,Positive
863,"RT A longawaited apology for the great mak95101 Masuma is always welcome as Anishinaabe Our circle always has a place from Masuma Her honour and strength makes us better whitefragilitycankissmyass,,
",welcome,Positive
863,"RT A longawaited apology for the great mak95101 Masuma is always welcome as Anishinaabe Our circle always has a place from Masuma Her honour and strength makes us better whitefragilitycankissmyass,,
",better,Positive
864,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",awful,Negative
864,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",extraordinary,Positive
864,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",work,Positive
864,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",better,Positive
865,"RT Dalhousie grad gets longawaited apology from university via tweet,,
",,Neutral
866,"RT A longawaited apology for the great mak95101 Masuma is always welcome as Anishinaabe Our circle always has a place from Masuma Her honour and strength makes us better whitefragilitycankissmyass,,
",great,Positive
866,"RT A longawaited apology for the great mak95101 Masuma is always welcome as Anishinaabe Our circle always has a place from Masuma Her honour and strength makes us better whitefragilitycankissmyass,,
",welcome,Positive
866,"RT A longawaited apology for the great mak95101 Masuma is always welcome as Anishinaabe Our circle always has a place from Masuma Her honour and strength makes us better whitefragilitycankissmyass,,
",better,Positive
867,"RT When Baron Longley heard his name called at Dalhousie Universitys fall convocation last week he didnt wait to leave the stage to start celebrating CBCNS,,
",fall,Negative
868,"RT When Baron Longley heard his name called at Dalhousie Universitys fall convocation last week he didnt wait to leave the stage to start celebrating CBCNS,,
",fall,Negative
869,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",awful,Negative
869,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",extraordinary,Positive
869,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",work,Positive
869,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",better,Positive
870,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",awful,Negative
870,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",extraordinary,Positive
870,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",work,Positive
870,"RT This is awful mak95101 not only deserves a real apology and restitution for what shes endured she deserves to be lauded for her extraordinary antiracism work which made DalhousieU a far better place despite the administration,,
",better,Positive
871,"RT The lions share of supposed classical liberals concerned about free speech arent actually principled in their advocacy If they were principled theyd have backed mak95101 But most of them were either silent or piled on Khan cdnpoli,,
",concerned,Negative
871,"RT The lions share of supposed classical liberals concerned about free speech arent actually principled in their advocacy If they were principled theyd have backed mak95101 But most of them were either silent or piled on Khan cdnpoli,,
",free,Positive
871,"RT The lions share of supposed classical liberals concerned about free speech arent actually principled in their advocacy If they were principled theyd have backed mak95101 But most of them were either silent or piled on Khan cdnpoli,,
",principled,Positive
871,"RT The lions share of supposed classical liberals concerned about free speech arent actually principled in their advocacy If they were principled theyd have backed mak95101 But most of them were either silent or piled on Khan cdnpoli,,
",silent,Positive
872,"RT The lions share of supposed classical liberals concerned about free speech arent actually principled in their advocacy If they were principled theyd have backed mak95101 But most of them were either silent or piled on Khan cdnpoli,,
",concerned,Negative
